date,time,corrected_area,calculated_area
01-04-1990,02:36:00,0.029,0.024708899
03-04-1990,03:20:00,0.032,0.032439716
04-04-1990,03:52:00,0.025,0.025882387
06-04-1990,04:23:00,0.023,0.021261898
08-04-1990,02:46:00,0.032,0.028976094
14-04-1990,"02:14:00,03:21:00",0.047,0.033130914
15-04-1990,02:22:00,0.046,0.028855214
16-04-1990,02:55:00,0.044,0.036744344
18-04-1990,02:16:00,0.048,0.036750554
19-04-1990,02:48:00,0.049,0.03996554
20-04-1990,02:25:00,0.052,0.032943917
22-04-1990,03:21:00,0.04,0.033150062
26-04-1990,02:48:00,0.028,0.03311465
27-04-1990,02:06:00,0.029,0.020698856
28-04-1990,02:19:00,0.028,0.022598993
29-04-1990,02:43:00,0.027,0.0289373
07-10-1990,03:32:00,0.027,0.026295551
12-10-1990,02:00:00,0.038,0.033458498
13-10-1990,02:23:00,0.034,0.035000623
16-10-1990,02:14:00,0.033,0.03102143
06-11-1990,02:03:00,0.035,0.043488415
08-11-1990,03:49:00,0.042,0.015981998
09-11-1990,02:49:00,0.033,0.042858904
10-11-1990,02:14:00,0.036,0.029694478
16-11-1990,"02:15:00,03:08:00",0.038,0.033540571
19-11-1990,02:11:00,0.031,0.021269294
20-11-1990,02:36:00,0.021,0.014359757
23-11-1990,"02:16:00,03:01:00",0.024,0.021933323
30-11-1990,02:23:00,0.025,0.025823212
08-12-1990,05:15:00,0.033,0.024593014
10-12-1990,02:26:00,0.043,0.034861739
12-12-1990,02:46:00,0.05,0.03027573
13-12-1990,03:14:00,0.045,0.02912847
16-12-1990,04:34:00,0.027,0.028640992
17-12-1990,03:59:00,0.028,0.022947635
21-12-1990,02:41:00,0.034,0.026730217
22-12-1990,02:40:00,0.033,0.023061186
23-12-1990,05:02:00,0.036,0.040843042
27-12-1990,06:31:00,0.033,0.039298725
28-12-1990,02:10:00,0.027,0.017512618
02-01-1991,04:24:00,0.029,0.027954102
04-01-1991,02:14:00,0.039,0.02352024
10-01-1991,02:28:00,0.028,0.021886586
11-01-1991,"02:23:00,05:35:00",0.035,0.022219327
12-01-1991,04:13:00,0.029,0.024899119
13-01-1991,"06:42:00,09:01:00",0.029,0.023687312
14-01-1991,02:08:00,0.029,0.024264248
15-01-1991,04:14:00,0.026,0.031237497
16-01-1991,02:55:00,0.027,0.034652837
20-01-1991,"02:50:00,05:36:00",0.031,0.030270752
21-01-1991,02:39:00,0.032,0.029338743
22-01-1991,02:41:00,0.044,0.04057306
23-01-1991,02:58:00,0.032,0.033547865
24-01-1991,02:36:00,0.034,0.033082285
25-01-1991,02:57:00,0.035,0.027589367
26-01-1991,02:15:00,0.038,0.022761016
28-01-1991,02:36:00,0.042,0.033535769
29-01-1991,04:28:00,0.042,0.044689389
30-01-1991,04:10:00,0.037,0.035751373
06-02-1991,02:26:00,0.039,0.021308973
07-02-1991,04:12:00,0.032,0.029586292
08-02-1991,02:12:00,0.034,0.027966003
09-02-1991,02:26:00,0.028,0.024693497
10-02-1991,"02:39:00,04:24:00",0.028,0.035828427
11-02-1991,02:23:00,0.033,0.030882519
13-02-1991,"02:18:00,02:33:00",0.035,0.032695209
14-02-1991,02:39:00,0.035,0.032479794
15-02-1991,02:06:00,0.045,0.021625904
16-02-1991,02:43:00,0.035,0.03067112
17-02-1991,02:27:00,0.036,0.036658145
18-02-1991,02:10:00,0.041,0.028348658
19-02-1991,02:23:00,0.037,0.031442561
20-02-1991,02:58:00,0.041,0.036713966
21-02-1991,02:22:00,0.042,0.044517747
22-02-1991,03:19:00,0.051,0.026599528
23-02-1991,02:45:00,0.038,0.039306446
24-02-1991,02:15:00,0.035,0.035336407
25-02-1991,02:45:00,0.043,0.062283
01-03-1991,02:42:00,0.05,0.017011827
02-03-1991,02:29:00,0.052,0.01965004
03-03-1991,03:19:00,0.045,0.036289358
04-03-1991,03:54:00,0.046,0.030331095
05-03-1991,04:57:00,0.054,0.031751605
06-03-1991,04:29:00,0.047,0.032260286
07-03-1991,04:25:00,0.036,0.042584862
08-03-1991,05:04:00,0.038,0.032761226
09-03-1991,02:22:00,0.038,0.031982999
10-03-1991,02:38:00,0.033,0.027629012
11-03-1991,02:13:00,0.043,0.012819756
12-03-1991,02:24:00,0.043,0.03240694
13-03-1991,02:08:00,0.044,0.029572887
15-03-1991,02:21:00,0.045,0.033296502
17-03-1991,02:41:00,0.048,0.02489464
18-03-1991,02:16:00,0.049,0.026450225
20-03-1991,02:31:00,0.045,0.02323958
21-03-1991,04:49:00,0.05,0.018048869
22-03-1991,02:36:00,0.042,0.032359131
23-03-1991,02:45:00,0.049,0.03585934
24-03-1991,02:21:00,0.036,0.030176383
25-03-1991,04:57:00,0.037,0.027322909
26-03-1991,02:09:00,0.043,0.037252787
27-03-1991,02:12:00,0.045,0.02620554
28-03-1991,04:42:00,0.038,0.033274041
30-03-1991,02:16:00,0.035,0.04004874
31-03-1991,02:07:00,0.026,0.024030757
01-04-1991,02:09:00,0.028,0.013136175
02-04-1991,02:22:00,0.025,0.026094714
03-04-1991,02:20:00,0.026,0.018525322
04-04-1991,02:02:00,0.032,0.012048082
05-04-1991,02:06:00,0.034,0.030233147
06-04-1991,02:53:00,0.035,0.035849497
07-04-1991,04:26:00,0.031,0.031682692
09-04-1991,02:27:00,0.043,0.033825931
10-04-1991,03:29:00,0.045,0.036342823
11-04-1991,04:07:00,0.045,0.048764408
12-04-1991,02:11:00,0.054,0.019561
16-04-1991,02:14:00,0.061,0.038138046
17-04-1991,"02:12:00,05:38:00",0.047,0.0431153
18-04-1991,02:18:00,0.051,0.041606925
19-04-1991,02:23:00,0.051,0.048669807
22-04-1991,04:13:00,0.049,0.020251022
23-04-1991,03:43:00,0.037,0.030725268
24-04-1991,03:58:00,0.033,0.037299413
25-04-1991,02:41:00,0.031,0.025330001
27-04-1991,04:47:00,0.026,0.012803808
29-04-1991,02:44:00,0.026,0.017542543
30-04-1991,03:42:00,0.029,0.0291958
01-05-1991,04:35:00,0.029,0.028870125
02-05-1991,"03:15:00,05:58:00",0.031,0.031169167
04-05-1991,04:30:00,0.026,0.032010512
06-05-1991,"04:10:00,02:21:00",0.033,0.021969396
07-05-1991,02:20:00,0.031,0.035541101
08-05-1991,03:02:00,0.032,0.02465659
09-05-1991,03:40:00,0.036,0.031625586
11-05-1991,04:33:00,0.039,0.045413636
12-05-1991,04:34:00,0.039,0.035264639
14-05-1991,02:45:00,0.039,0.037221511
15-05-1991,05:34:00,0.034,0.043517022
16-05-1991,03:12:00,0.036,0.040110427
18-05-1991,"06:12:00,07:03:00",0.035,0.033999597
19-05-1991,02:15:00,0.028,0.033845712
21-05-1991,"04:58:00,04:07:00",0.028,0.030365368
23-05-1991,04:47:00,0.031,0.030855666
24-05-1991,02:19:00,0.029,0.027677193
26-05-1991,04:45:00,0.026,0.033099642
30-05-1991,02:50:00,0.025,0.027838078
11-06-1991,03:07:00,0.041,0.032303574
12-06-1991,03:55:00,0.042,0.023590938
14-06-1991,02:26:00,0.037,0.02397481
16-06-1991,04:44:00,0.033,0.035717914
23-06-1991,03:05:00,0.035,0.036960013
02-07-1991,02:55:00,0.046,0.033822026
03-07-1991,03:05:00,0.047,0.036148065
22-07-1991,04:06:00,0.038,0.028661141
03-08-1991,02:57:00,0.029,0.019573169
16-08-1991,"04:18:00,04:58:00",0.051,0.022391766
01-09-1991,03:07:00,0.032,0.022572612
05-09-1991,06:26:00,0.03,0.02960001
07-09-1991,03:29:00,0.026,0.031312863
09-09-1991,02:56:00,0.025,0.035006608
23-09-1991,03:04:00,0.037,0.018915557
02-10-1991,03:55:00,0.03,0.024864762
15-10-1991,03:03:00,0.03,0.028061651
04-11-1991,03:05:00,0.046,0.028587707
05-11-1991,04:20:00,0.043,0.036719832
12-11-1991,05:03:00,0.025,0.031555316
20-11-1991,03:21:00,0.031,0.02482629
22-11-1991,04:30:00,0.026,0.020092709
27-11-1991,04:03:00,0.019,0.025984082
28-11-1991,02:40:00,0.023,0.027598125
29-11-1991,02:39:00,0.02,0.022192264
